M_Ms log_t_yr Teff L_Ls g R_Rs Log_Li_Li0 logTc logROc Mrad Rrad k2conv k2rad
1.0 5.703957 4396.683919222139 0.49983919222139117 3.463844727000748 3.06825325355273 0.0 6.405580403889305 -0.5263432610321616 0.0 0.0 0.4480316080777861 0.0
1.0 5.738317 4395.0 0.47522157824342376 3.488022737405261 2.9829090503789564 0.0 6.41751136870263 -0.4903102095407933 0.0 0.0 0.4482 0.0
1.0 5.769327 4393.326712935617 0.45226712935617286 3.5100595835794444 2.9084548139397532 0.0 6.428693148257531 -0.458073981098642 0.0 0.0 0.4484673287064383 0.0
1.0 5.797516 4392.0 0.4315198179682914 3.529984145625367 2.8430634174985325 0.0 6.437992072812683 -0.428827745155608 0.0 0.0 0.44864960364063416 0.0
1.0 5.823296 4389.864243485877 0.41364243485876956 3.5482218086271073 2.7847915480621857 0.0 6.446678782570615 -0.4022858331508651 0.0 0.0 0.4488135756514123 0.0
1.0 5.846997 4388.636456211812 0.3963645621181265 3.5646354378818734 2.7320936863543794 0.0 6.454817718940937 -0.3779740325865583 0.0 0.0 0.44893635437881874 0.0
1.0 5.868886 4387.092979402379 0.38046489701189434 3.579535102988106 2.6843946910356826 0.0 6.462721061792863 -0.35556015375688993 0.0 0.0 0.4491 0.0
1.0 5.889182 4386.0 0.3657722342733189 3.5942277657266812 2.6413167028199567 0.0 6.469536659436009 -0.3348965726681128 0.0 0.0 0.4492 0.0
1.0 5.908067 4384.428056516725 0.3521402825836217 3.6068597174163783 2.6019927912341405 0.0 6.475715830449827 -0.31569639561707036 0.0 0.0 0.44935719434832755 0.0
1.0 5.925695 4383.0 0.3394480379473912 3.6194415696420874 2.5654545062526957 0.0 6.481331177231565 -0.29782725312634767 0.0 0.0 0.4495 0.0
1.0 5.942195 4382.259852128347 0.32759852128346845 3.6304014787165317 2.5322758595937116 0.0 6.486960591486613 -0.2811639150096905 0.0 0.0 0.4495740147871653 0.0
1.0 5.95768 4380.299770839301 0.3164988541965056 3.6408009166427955 2.501897020910915 0.0 6.492400458321398 -0.265528372959038 0.0 0.0 0.4496700229160699 0.0
1.0 5.972245 4379.10799599485 0.306079959948505 3.650920040051495 2.473023887855814 0.0 6.4974600200257475 -0.2508227435273921 0.0 0.0 0.4497 0.0
1.0 5.985973 4378.628102710413 0.2962810271041367 3.660347075606277 2.446958773181169 0.0 6.501859486447931 -0.23705624821683272 0.0 0.0 0.44983718972895864 0.0
1.0 5.998937 4377.407692307693 0.28703846153846185 3.668961538461538 2.421707692307693 0.0 6.5061846153846155 -0.2240538461538466 0.0 0.0 0.4499 0.0
1.0 6.011202 4376.3314135381115 0.27831413538111516 3.677685864618885 2.3986167519908994 0.0 6.509674345847554 -0.2117729308873724 0.0 0.0 0.44996685864618885 0.0
1.0 6.022824 4375.011081119477 0.27005540559738617 3.685944594402614 2.3771440545532037 0.0 6.513966756641569 -0.20007867594828838 0.0 0.0 0.45 0.0
1.0 6.033854 4374.446310865405 0.2622315543270254 3.6927684456729746 2.356802041250266 0.0 6.517384222836487 -0.1890964916011058 0.0 0.0 0.45012768445672974 0.0
1.0 6.044336 4373.0 0.2548025477707001 3.7001974522293 2.3374866242038204 0.0 6.52107898089172 -0.17861961783439412 0.0 0.0 0.4502 0.0
1.0 6.05431 4372.549335595138 0.24774667797568573 3.7070279898218828 2.319141362736783 0.0 6.524126661012157 -0.16862281594571688 0.0 0.0 0.45022253322024314 0.0
