# tauvisc_Myr, Mstar_Msol, FUV_G0, Mdisc_Msol, Rscale_au, alphavisc, Tdisp_Myr
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000194e-02,4.000000000000000000e+01,1.707629936490925177e-02,2.000560366145589075e+00
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.000000000000000194e-02,4.000000000000000000e+01,1.707629936490925177e-02,8.146228520131322259e-01
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,1.707629936490925177e-02,3.320149277368544261e-01
1.000000000000000000e+00,1.000000000000000056e-01,5.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,1.707629936490925177e-02,1.298614465360265480e-01
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+04,1.000000000000000194e-02,4.000000000000000000e+01,1.707629936490925177e-02,1.905509380225316532e-02
1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+01,2.999999999999999889e-02,4.000000000000000000e+01,9.859006035092991033e-03,1.000000000000000000e+01
1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+02,2.999999999999999889e-02,4.000000000000000000e+01,9.859006035092991033e-03,1.000000000000000000e+01
1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,9.859006035092991033e-03,2.067831209027192418e+00
1.000000000000000000e+00,2.999999999999999889e-01,5.000000000000000000e+03,2.999999999999999889e-02,4.000000000000000000e+01,9.859006035092991033e-03,5.223985313781629447e-01
1.000000000000000000e+00,2.999999999999999889e-01,1.000000000000000000e+04,2.999999999999999889e-02,4.000000000000000000e+01,9.859006035092991033e-03,2.711508595771510155e-01
1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+01,5.000000000000000278e-02,4.000000000000000000e+01,7.636753236814714137e-03,1.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+02,5.000000000000000278e-02,4.000000000000000000e+01,7.636753236814714137e-03,1.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,7.636753236814714137e-03,3.699182178886531780e+00
1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e+03,5.000000000000000278e-02,4.000000000000000000e+01,7.636753236814714137e-03,9.020870228315773787e-01
